"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Two concurrently accepted quotes both settle with their combined impact","tests.e2e","2026-07-19","skipped","2026-07-19","","test_quote_lifecycle","",""
"","6869","Re-accepting a settled quote is rejected and does not convert twice","tests.e2e","2026-07-19","passed","2026-07-19","","test_quote_lifecycle","",""
"","6535","Conversion 420 TRX -> USDT settles with correct amounts","tests.e2e","2026-07-19","passed","2026-07-19","","test_conversion","",""
"","279","Getting an unknown wallet id returns 404","tests.integration","2026-07-19","passed","2026-07-19","","test_invalid_references","",""
"","265","Liveness: /echo round-trips an authenticated payload","tests.smoke","2026-07-19","passed","2026-07-19","","test_liveness","",""
"","12872","Two sequential conversions on one customer accumulate correctly","tests.e2e","2026-07-19","passed","2026-07-19","","test_quote_lifecycle","",""
"","572","Every wallet reads identically via the list and the single-wallet endpoint","tests.integration","2026-07-19","passed","2026-07-19","","test_parity","",""
"","1196","A quote using another customer's wallet id is rejected and leaves it untouched","tests.integration","2026-07-19","passed","2026-07-19","","test_invalid_references","",""
"","449","A quote for more than the wallet balance is rejected at create","tests.integration","2026-07-19","passed","2026-07-19","","test_amount_validation","",""
"","6806","Conversion 1 ETH -> TRX settles with correct amounts","tests.e2e","2026-07-19","passed","2026-07-19","","test_conversion","",""
"","6525","Conversion 987 TRX -> ETH settles with correct amounts","tests.e2e","2026-07-19","passed","2026-07-19","","test_conversion","",""
"","450","A quote with a zero amount is rejected","tests.integration","2026-07-19","passed","2026-07-19","","test_amount_validation","",""
"","21744","A quote accepted late in its window still settles correctly","tests.e2e","2026-07-19","passed","2026-07-19","","test_quote_timing","",""
"","390","A created quote echoes the requested pair, amount, and wallet ids","tests.integration","2026-07-19","passed","2026-07-19","","test_parity","",""
"","21296","An expired quote cannot be accepted and leaves balances untouched","tests.e2e","2026-07-19","passed","2026-07-19","","test_quote_timing","",""
"","265","Getting an unknown quote uuid returns 404","tests.integration","2026-07-19","passed","2026-07-19","","test_invalid_references","",""
"","6529","An immediate second accept is rejected and the quote settles exactly once","tests.e2e","2026-07-19","passed","2026-07-19","","test_quote_lifecycle","",""
"","86","The create response and an immediate get return the same quote","tests.integration","2026-07-19","passed","2026-07-19","","test_parity","",""
"","205","A quote reads identically via the list and the single-quote endpoint","tests.integration","2026-07-19","passed","2026-07-19","","test_parity","",""
"","434","amountIn finer than the source quantityPrecision is rounded half-up","tests.integration","2026-07-19","passed","2026-07-19","","test_amount_validation","",""
"","535","Liveness: /health reports system metrics","tests.smoke","2026-07-19","passed","2026-07-19","","test_liveness","",""
"","215","Accepting a quote does not move balances before settlement","tests.e2e","2026-07-19","passed","2026-07-19","","test_quote_timing","",""
"","333","A quote with an unknown currency code is rejected","tests.integration","2026-07-19","passed","2026-07-19","","test_invalid_references","",""
"","342","A quote whose from currency mismatches the source wallet is rejected","tests.integration","2026-07-19","passed","2026-07-19","","test_invalid_references","",""
"","0","A quote with a negative amount is rejected","tests.integration","2026-07-19","skipped","2026-07-19","","test_amount_validation","",""
"","6422","Converting the full wallet balance drains the wallet to exactly zero","tests.e2e","2026-07-19","passed","2026-07-19","","test_conversion","",""
"","0","Quote fee is consistent with its own reported amountIn","tests.integration","2026-07-19","skipped","2026-07-19","","test_amount_validation","",""
"","294","Accepting an unknown quote uuid returns 404","tests.integration","2026-07-19","passed","2026-07-19","","test_invalid_references","",""
